"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107317636",47.4666866699267,38.06668000524,38.8000489926,33.5333610348667,39.33335268712,40.53331701046,51.5333306784667,38.1999732366667,49.4666466732667,22.1333422736,44.9333246666667,34.1333543358267,32.8666567763667,45.9333200044733,44.6666801284867
"107317646",319,81,84,176,144,245,144,179,103,128,297,173,182,382,257
"107318509",96.750075,77.2498,69.49995,68.0002,83.999925,98.250075,118.999975,85.499975,95.24995,66.75008,95.00005,71.0001,100.00015,125.74975,138.000075
"107322597",27,24.50001,21,25.5,30.5,29.00001,34.5,29.99999,41,24.5,38.5,24.5,40,37.5,52.5
"107322609",2554.5,1893.5,1431.5,1743.5,2526.5,2045,3311.5,2102.5,2721,1399.999,2323.9985,2091.5,2209,2636.5,3287
"107322621",4361.499,3098,3335.4975,2642.501,3613.9995,4405.4975,5495.0015,4103.998,4198.502,2210.002,6616.99,2545.4985,3713.502,4086,4363.4985
"107322631",1,0,2,2,2,7,9,7,4,2,8,2,1,6,6
"107310046",8,3,3,7,7,6,18,6,13,3,11,11,17,8,12
"107310045",42.500075,37.12500003575,41.2500375,38.250037512375,41.6250125,52.749975305,59.9999625,50.00000103875,45.75001875,39.2499875,65.62507828875,35.250038125,73.1250811375,63.3749530878375,62.99997453525
"107318811",96.7148,111.3341,157.582,195.000333333333,143.711333333333,307.332,234.713333333333,109.333269806667,119.575333333333,151.999666666667,211.095333333333,135,378.846666666667,190.9135,71.1490666666667
"107318600",277.818091381727,198.636390909091,176.818156768364,150.363597272727,220.727318672727,257.36332154,287.363245454545,191.636341818182,227.090877272727,140.818116977273,285.272745454545,225.726846690909,252.090945454545,278.545541554545,278.454943590909
"107323545",325.79926,35.3999356906,90.80006,162.20001794,195.5999762524,340.79940006954,264.60054,261.000187904,62.8000213,167.6000400041,29.80001678,175.599908,127.00004,112.0000764124,465.2004031018
"107323524",184.499875,95.2499,47.2499,66.25,119.249985,117.4998825,148.9999375,117.7502,47.999995,113.5,65.2501,153.250125,229.25,112.74995,230.999975
